accession,domain,phylum,class,order,family,genus,species,Amino acid utilization,Aromatics degradation,Arsenic cycling,C1 metabolism,Carbon fixation,Chlorite reduction,Complex carbon degradation,Ethanol fermentation,Fatty acid degradation,Fermentation,Halogenated compound utilization,Hydrogenases,Nitrile hydration,Nitrogen cycling,Oxidative phosphorylation,Perchlorate reduction,Selenate reduction,Sulfur cycling,Thermophilic specific
GCA_013334865.1,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum sp013334865,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,2,0
GCA_013334925.1,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum sp013334925,0,0,0,0,1,0,0,0,0,2,0,1,0,1,2,0,0,5,0
GCA_013335115.1,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum sp013335115,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,3,0
GCA_013335435.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Thiobacillaceae,Parasulfuritortus,Parasulfuritortus sp013335435,0,0,0,0,2,0,0,0,0,2,0,2,0,3,3,0,0,5,0
GCA_013335535.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus,Azonexus sp013335535,0,0,0,4,1,0,0,0,0,1,0,3,0,6,2,0,0,1,0
GCA_013335935.1,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Alkalibacteraceae,JAAXUP01,JAAXUP01 sp013335935,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0
GCA_013336025.1,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium sp013336025,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0
GCA_013336035.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,CAIWXH01,CAIWXH01 sp013336035,0,0,0,2,1,0,0,0,0,2,0,4,0,0,3,0,0,2,0
GCA_013336525.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACRCG01,JACRCG01 sp013336525,0,0,2,0,0,0,0,0,0,1,0,2,0,3,1,1,0,2,0
GCA_013347225.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Accumulibacter,Accumulibacter similis,0,0,0,1,1,0,0,0,0,2,0,3,0,5,1,0,0,2,0
GCA_013349285.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,DUZU01,DUZU01 sp013349285,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,4,0
GCA_013349295.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,UBA2262 sp013349295,0,0,2,0,0,0,0,0,0,2,0,1,0,2,1,0,0,5,0
GCA_013349325.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACRCG01,JACRCG01 sp013349325,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,2,0
GCA_013349405.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACRCG01,JACRCG01 sp013349405,0,0,1,1,0,0,0,0,0,1,0,2,0,2,2,1,0,2,0
GCA_013349665.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,Telmatospirillum sp013349665,0,0,0,2,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0
GCA_013363835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus,Azonexus sp013363835,0,0,0,0,0,0,0,0,0,2,0,1,0,6,2,0,0,2,0
GCA_013373265.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,Terasakiellaceae,Terasakiella,Terasakiella sp013373265,0,0,0,1,0,0,0,0,0,1,0,2,0,2,3,0,0,1,0
GCA_013377015.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Rhodopseudomonas sp013377015,0,0,0,3,2,1,0,0,0,2,0,3,1,2,3,0,0,3,0
GCA_013388805.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,JACAEO01,JACAEO01 sp013388805,0,0,0,1,0,0,0,0,0,2,0,3,0,0,2,0,0,2,0
GCA_013388985.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,UBA2250,UBA2250 sp013388985,0,0,2,0,2,0,0,0,0,2,0,2,0,5,2,0,0,6,0
GCA_013390565.1,Bacteria,Chloroflexota,Chloroflexia,54-19,54-19,L227-S17,L227-S17 sp013390565,0,0,0,0,1,1,0,0,0,2,0,3,0,0,2,0,0,1,0
GCA_013390605.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Cfx3-03,Cfx3-03,Cfx3-03 sp013390605,0,0,0,0,0,0,0,0,0,2,0,4,0,0,3,0,0,0,0
GCA_013390945.1,Bacteria,Chloroflexota,Chloroflexia,54-19,54-19,L227-5C,L227-5C sp013390945,0,0,0,1,1,1,0,0,0,2,0,2,0,0,1,0,0,1,0
GCA_013403005.1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp013403005,0,0,0,2,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
GCA_013414705.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,UXAT02,SSA4,SSA4 sp013414705,0,0,0,2,0,0,0,0,0,2,0,1,1,2,4,0,0,0,0
GCA_013426785.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,UBA2250,UBA2250 sp013426785,0,0,0,0,1,0,0,0,0,2,0,2,0,1,1,0,0,4,0
GCA_013426795.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,UBA2270,UBA2270 sp013426795,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,0,0,4,0
GCA_013426805.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Lamprocystis,Lamprocystis sp013426805,0,0,0,2,2,0,0,0,0,2,0,3,0,2,2,0,0,5,0
GCA_013572355.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanogasteraceae,Methanogaster,Methanogaster sp013572355,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GCA_013619105.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea_A,Syntrophotalea_A sp013619105,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,0
GCA_013619155.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfolunaceae,Desulfoluna,Desulfoluna sp013619155,0,0,2,0,0,0,0,0,0,1,0,3,0,2,2,0,0,3,0
GCA_013791855.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Sideroxyarcus,Sideroxyarcus sp013791855,0,0,0,0,1,0,0,0,0,2,0,2,0,2,1,0,0,5,0
GCA_013791955.1,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionicimonas,Propionicimonas sp013791955,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,1,0
GCA_013791995.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,UBA2262 sp013791995,0,0,2,0,0,0,0,0,0,2,0,1,0,2,1,0,0,4,0
GCA_013792135.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,UBA2270,UBA2270 sp002347745,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,4,0
GCA_013823635.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,UBA2334,UBA2334 sp013823635,0,0,0,2,1,0,0,0,0,2,0,3,0,4,2,0,0,2,0
GCA_013911975.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Aquabacter,Aquabacter sp013911975,0,0,0,1,0,0,0,0,0,2,0,0,0,2,4,0,0,1,0
GCA_014189435.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium loti_G,0,0,0,2,0,0,0,0,0,1,0,1,1,3,3,0,0,1,0
GCA_014237145.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanocomedenaceae,Methanocomedens,Methanocomedens sp014237145,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
GCA_014237395.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA5852,JABZFP01,JABZFP01 sp014237395,0,0,1,1,0,0,0,0,0,2,0,2,0,2,2,1,0,4,0
GCA_014359475.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter sp014359475,0,0,0,1,0,0,0,0,0,2,0,0,0,4,3,0,0,1,0
GCA_014359565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,Immundisolibacter sp014359565,0,0,0,2,0,0,0,0,0,2,0,0,0,2,3,0,0,1,0
GCA_014379395.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Janthinobacterium,Janthinobacterium sp014379395,0,0,0,3,0,0,0,0,0,2,0,2,0,5,2,1,0,1,0
GCA_014380135.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACRCG01,JACRCG01 sp014380135,0,0,0,1,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0
GCA_014380625.1,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,JACMJL01,JACMJL01 sp014380625,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,2,0
GCA_014382295.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,Desulfobia,Desulfobia pelagia,0,0,2,0,0,0,0,0,0,2,0,0,0,3,1,0,0,4,0
GCA_014695255.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp014695255,0,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,0,2,0
GCA_014850975.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas fluvii,0,0,0,4,0,0,0,0,0,2,0,2,0,3,2,0,0,2,0
GCA_014859565.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Marinospirillum,Marinospirillum sp014859565,0,0,0,2,1,0,0,0,0,2,0,0,0,2,2,1,0,1,0
GCA_014859605.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,UBA2197,UBA2197,UBA2197 sp014859605,0,0,2,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0
GCA_014859725.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanocomedenaceae,Kmv04,Kmv04 sp014859725,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0
GCA_014859785.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens_A,Methanoperedens_A sp014859785,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0
GCA_014860175.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,JACZKF01,JACZKF01,JACZKF01 sp014860175,0,0,2,0,0,0,0,0,0,1,0,1,0,5,2,1,0,2,0
GCA_014860225.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,BM103,M0040,M0040 sp014860225,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,1,0,1,0
GCA_014874265.1,Bacteria,Actinomycetota,Thermoleophilia,BMS3ABIN01,BMS3ABIN01,JACWAD01,JACWAD01 sp014874265,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,3,0
GCA_015057705.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sp015057705,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0
GCA_015057775.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sp015057775,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0
GCA_015206945.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc,Nostoc sp015206945,0,0,0,2,1,0,0,0,0,2,0,1,0,1,1,0,0,1,0
GCA_015207585.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,LEGE-06147,LEGE-06147 sp015207585,0,0,0,1,1,0,0,0,0,2,0,1,1,2,2,0,0,2,0
GCA_015228695.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADGDA01,JADGDA01 sp015228695,0,0,0,1,1,0,0,0,0,2,0,0,0,4,1,0,0,4,0
GCA_015228815.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,UBA8363,UBA8363,UBA8363 sp015228815,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,3,0
GCA_015228925.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,UBA8363,UBA8363,UBA8363 sp015228925,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,3,0
GCA_015231375.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,Magnetaquicoccaceae,JAANAU01,JAANAU01 sp015231375,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0
GCA_015231435.1,Bacteria,Pseudomonadota,Gammaproteobacteria,BW-2,BW-2,JADFYS01,JADFYS01 sp015231435,0,0,0,1,1,0,0,0,0,2,0,0,0,5,1,0,0,3,0
GCA_015231595.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,JADGBH01,JADGBH01,JADGBH01 sp015231595,0,0,1,0,0,0,0,0,0,2,0,3,0,1,1,0,0,3,0
GCA_015231605.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,Magnetovibrionaceae,JADGBG01,JADGBG01 sp015231605,0,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,0,3,0
GCA_015231615.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfamplus,Desulfamplus sp015231615,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,4,0
GCA_015231755.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,Magnetaquicoccaceae,JAANAU01,JAANAU01 sp015231755,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0
GCA_015231795.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,WMHbin7,WMHbin7,WMHbin7 sp015231795,0,0,1,0,1,0,0,0,0,2,0,2,0,2,1,0,0,4,0
GCA_015231815.1,Bacteria,Nitrospinota,JADGAW01,JADGAW01,JADGAW01,JADGAW01,JADGAW01 sp015231815,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
GCA_015231915.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,Magnetaquicoccaceae,WMHbin3,WMHbin3 sp015231915,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0
GCA_015232405.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,UBA8363,GCA-2753565,GCA-2753565 sp015232405,0,0,2,0,0,0,0,0,0,1,0,0,0,4,1,0,0,4,0
GCA_015232455.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfamplus,Desulfamplus sp015232455,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,4,0
GCA_015232485.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,JADFZP01,JADFZP01 sp015232485,0,0,0,0,1,0,0,0,0,2,0,1,0,4,2,0,0,4,0
GCA_015232645.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,UBA8363,UBA8363,UBA8363 sp015232645,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,2,0
GCA_015232825.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,Magnetaquicoccaceae,JAANAU01,JAANAU01 sp015232825,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
GCA_015232865.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,UBA8363,GCA-2753565,GCA-2753565 sp015232865,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,4,0
GCA_015232955.1,Bacteria,Pseudomonadota,Gammaproteobacteria,BW-2,BW-2,JADFYS01,JADFYS01 sp015232955,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,4,0
GCA_015233015.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,Magnetominusculus,Magnetominusculus sp015233015,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,3,0
GCA_015233035.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,Magnetaquicoccaceae,HCHbin5,HCHbin5 sp015233035,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,0
GCA_015233395.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,JADFXV01,JADFXV01 sp015233395,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,3,0
GCA_015233485.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,Magnetominusculus,Magnetominusculus sp015233485,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,0
GCA_015233895.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,JADFXG01,JADFXG01 sp015233895,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,0,0,3,0
GCA_015233935.1,Bacteria,Pseudomonadota,Magnetococcia,Magnetococcales,JADFXB01,JADFXB01,JADFXB01 sp015233935,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,0,2,0
GCA_015234065.1,Bacteria,Omnitrophota,Koll11,Zapsychrales,Fredricksoniimonadaceae,JADFWS01,JADFWS01 sp015234065,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,1,0
GCA_015243575.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,MT110,MT110 sp015243575,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0
GCA_015272325.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Elainellales,Elainellaceae,JACYLU01,JACYLU01 sp015272325,0,0,0,2,1,0,0,0,0,2,0,0,0,1,2,0,0,2,0
GCA_015272395.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Calothrix,Calothrix sp015272395,0,0,0,1,1,0,0,0,0,2,0,2,0,1,2,0,0,2,0
GCA_015295885.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Nodosilinea,Nodosilinea sp015295885,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,2,0
GCA_015295985.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Thermostichales,Thermostichaceae,Thermostichus,Thermostichus sp015295985,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,1,2,0
GCA_015296075.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,DSRU01,DSRU01 sp015296075,0,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,0,2,0
GCA_015296085.1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus,Trichormus sp015296085,0,0,0,1,1,0,0,0,0,2,0,2,0,1,2,0,0,3,0
GCA_015482705.2,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium_A,Chlorobium_A sp015482705,0,0,0,0,1,0,0,0,0,2,0,1,0,1,2,0,0,6,0
GCA_015484845.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,DRKI01,DRKI01 sp015484845,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,5,0
GCA_015488275.1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,S012-135,S012-135,S012-135 sp015488275,0,0,0,1,0,0,0,0,0,2,0,1,0,2,2,0,0,5,0
GCA_015489365.1,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,S143-34,S143-34 sp015489365,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4,0
GCA_015491705.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,JAADFS01,JAADFS01 sp015491705,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,4,0
GCA_015492645.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,JdFR-85,JdFR-85 sp015492645,0,0,1,0,0,0,0,0,0,2,0,3,0,2,2,0,0,5,1
GCA_015494395.1,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,QOAL01,S144-17,S144-17 sp015494395,0,0,1,1,0,0,0,0,0,2,0,1,0,2,1,0,0,4,0
GCA_015520145.1,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,WAQR01,WAQR01,WAQR01 sp015520145,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GCA_015523155.1,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus_A,Methanothermococcus_A sp015523155,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
GCA_015548865.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Symbiopectobacterium,Symbiopectobacterium marcescens_A,0,0,0,1,0,0,0,0,0,2,0,2,0,2,2,0,1,0,0
GCA_015654525.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Paludibacter sp015654525,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
GCA_015654535.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_G,Bacteroides_G sp015654535,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GCA_015654615.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,Telmatospirillum sp015654615,0,0,0,2,0,0,0,0,0,2,0,2,0,2,4,1,1,0,0
GCA_015654635.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp015654635,0,0,0,1,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0
GCA_015654745.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Acerihabitans,Acerihabitans sp015654745,0,0,0,1,0,0,0,0,0,2,0,2,0,3,1,0,0,0,0
GCA_015654925.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Acerihabitans,Acerihabitans sp015654925,0,0,0,1,0,0,0,0,0,2,0,2,0,3,2,0,0,0,0
GCA_015655365.1,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,Terracidiphilus sp015655365,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0
GCA_015661405.1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp015661405,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
GCA_015709205.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,JACCQO01,JACCQO01 sp015709205,0,0,0,0,0,0,0,0,0,2,0,2,0,3,2,0,0,3,0
GCA_015709315.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Pseudodesulfovibrio sp015709315,0,0,1,0,0,0,0,0,0,2,0,2,0,3,1,0,0,4,0
GCA_016000195.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Polaromonas,Polaromonas sp016000195,0,0,0,3,0,0,0,0,0,2,0,0,0,2,3,0,0,3,0
GCA_016124535.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Azospirillales,Azospirillaceae,RI-112,RI-112 sp016124535,0,0,0,2,1,0,0,0,0,2,0,1,0,2,2,0,0,1,0
GCA_016124745.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Thiobacillaceae,Thiobacillus,Thiobacillus sp016124745,0,0,1,0,2,0,0,0,0,2,0,1,0,4,3,0,0,5,0
GCA_016125505.1,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,RI-92,RI-92 sp016125505,0,0,0,0,1,0,0,0,0,2,0,2,0,4,3,0,0,5,0
GCA_016178015.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylosinus,Methylosinus sp016178015,0,0,0,3,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
GCA_016182975.1,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,JACPFJ01,JACPFJ01 sp016182975,0,0,2,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,0
GCA_016183615.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,UBA6910,JACPEG01,JACPEG01 sp016183615,0,0,1,0,1,0,0,0,0,2,0,3,0,5,3,0,0,4,0
GCA_016194325.1,Bacteria,Nitrospinota,UBA9942,UBA9942,UBA9942,UBA9942,UBA9942 sp016194325,0,0,0,0,1,0,0,0,0,2,0,2,0,2,2,1,0,2,0
GCA_016195125.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Phaeospirillum,Phaeospirillum sp016195125,0,0,0,0,1,0,0,0,0,2,0,3,0,4,2,0,0,2,0
GCA_016195465.1,Bacteria,Nitrospirota,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22 sp016195465,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,1,0,2,0
GCA_016199835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Gallionellaceae,JACQFX01,JACQFX01 sp016199835,0,0,1,0,1,0,0,0,0,2,0,1,0,1,1,0,0,3,0
GCA_016200345.1,Bacteria,Nitrospinota,UBA7883,JACRGQ01,JACRGQ01,JACQEX01,JACQEX01 sp016200345,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,2,0
